Sample ID,Class
1,5
2,7
3,1
4,7
5,1
6,2
7,1
8,9
9,3
10,4
11,5
12,0
13,3
14,2
15,0
16,7
17,6
18,4
19,6
20,4
21,5
22,3
23,2
24,9
25,8
26,7
27,4
28,3
29,3
30,4
31,2
32,2
33,9
34,7
35,6
36,7
37,1
38,2
39,8
40,3
41,0
42,6
43,4
44,0
45,8
46,7
47,8
48,2
49,9
50,0
51,4
52,3
53,4
54,0
55,0
56,0
57,3
58,2
59,6
60,1
61,3
62,7
63,2
64,8
65,8
66,0
67,1
68,0
69,5
70,1
71,5
72,1
73,4
74,9
75,4
76,3
77,7
78,3
79,7
80,8
81,9
82,1
83,4
84,4
85,0
86,2
87,5
88,2
89,0
90,5
91,3
92,0
93,6
94,2
95,4
96,1
97,6
98,8
99,6
100,9
101,0
102,3
103,0
104,3
105,6
106,6
107,4
108,6
109,8
110,7
111,4
112,6
113,3
114,6
115,0
116,4
117,2
118,5
119,9
120,2
121,0
122,7
123,5
124,5
125,1
126,0
127,7
128,9
129,0
130,6
131,3
132,9
133,1
134,4
135,4
136,4
137,4
138,5
139,4
140,8
141,3
142,8
143,6
144,7
145,5
146,2
147,1
148,1
149,1
150,4
151,9
152,4
153,8
154,3
155,2
156,0
157,3
158,4
159,4
160,9
161,9
162,4
163,7
164,5
165,0
166,0
167,1
168,6
169,8
170,9
171,7
172,8
173,2
174,6
175,0
176,1
177,0
178,2
179,8
180,3
181,1
182,2
183,4
184,8
185,3
186,8
187,4
188,0
189,3
190,2
191,1
192,8
193,6
194,2
195,2
196,1
197,3
198,1
199,0
200,2
201,7
202,5
203,1
204,7
205,5
206,4
207,2
208,3
209,3
210,8
211,8
212,8
213,3
214,1
215,1
216,1
217,0
218,0
219,3
220,8
221,8
222,1
223,4
224,4
225,7
226,3
227,9
228,4
229,6
230,1
231,9
232,5
233,1
234,1
235,7
236,2
237,7
238,8
239,7
240,1
241,6
242,0
243,3
244,6
245,4
246,0
247,0
248,5
249,8
250,8
251,6
252,1
253,3
254,0
255,4
256,7
257,5
258,4
259,0
260,7
261,3
262,0
263,1
264,4
265,9
266,4
267,4
268,1
269,5
270,4
271,3
272,1
273,4
274,3
275,5
276,3
277,8
278,3
279,6
280,4
281,3
282,8
283,3
284,0
285,5
286,9
287,4
288,4
289,5
290,1
291,4
292,2
293,8
294,4
295,1
296,8
297,6
298,9
299,2
300,4
301,0
302,2
303,9
304,0
305,3
306,6
307,4
308,3
309,0
310,9
311,1
312,3
313,0
314,6
315,2
316,8
317,4
318,6
319,4
320,1
321,7
322,3
323,6
324,2
325,4
326,6
327,5
328,7
329,9
330,1
331,2
332,7
333,8
334,1
335,9
336,4
337,5
338,4
339,2
340,0
341,2
342,5
343,7
344,0
345,3
346,4
347,0
348,3
349,2
350,4
351,0
352,2
353,4
354,2
355,7
356,6
357,2
358,4
359,5
360,8
361,2
362,2
363,5
364,6
365,2
366,3
367,8
368,8
369,4
370,0
371,0
372,0
373,8
374,9
375,0
376,2
377,0
378,3
379,4
380,3
381,9
382,6
383,1
384,7
385,6
386,3
387,2
388,9
389,7
390,0
391,6
392,4
393,7
394,9
395,7
396,8
397,2
398,7
399,0
400,3
401,0
402,6
403,1
404,9
405,2
406,0
407,0
408,6
409,0
410,5
411,2
412,0
413,2
414,3
415,8
416,3
417,4
418,5
419,1
420,3
421,3
422,3
423,9
424,4
425,9
426,1
427,1
428,5
429,6
430,0
431,2
432,0
433,3
434,2
435,4
436,6
437,7
438,0
439,1
440,6
441,2
442,0
443,7
444,4
445,4
446,0
447,5
448,0
449,6
450,4
451,7
452,1
453,1
454,8
455,3
456,1
457,2
458,2
459,9
460,0
461,7
462,2
463,1
464,5
465,1
466,4
467,3
468,0
469,1
470,9
471,1
472,0
473,5
474,4
475,2
476,0
477,0
478,3
479,4
480,0
481,6
482,3
483,2
484,8
485,1
486,7
487,1
488,2
489,9
490,2
491,6
492,1
493,8
494,4
495,7
496,1
497,1
498,3
499,5
500,7
501,2
502,3
503,5
504,0
505,2
506,4
507,2
508,1
509,2
510,8
511,2
512,3
513,1
514,4
515,5
516,5
517,4
518,3
519,3
520,3
521,2
522,8
523,9
524,9
525,5
526,1
527,2
528,4
529,0
530,2
531,3
532,5
533,3
534,6
535,3
536,2
537,6
538,7
539,0
540,9
541,2
542,1
543,1
544,7
545,1
546,0
547,1
548,6
549,3
550,7
551,0
552,0
553,0
554,0
555,9
556,1
557,0
558,9
559,4
560,6
561,6
562,3
563,1
564,0
565,1
566,9
567,7
568,8
569,0
570,5
571,9
572,1
573,1
574,0
575,4
576,2
577,1
578,7
579,9
580,4
581,1
582,3
583,4
584,7
585,0
586,3
587,3
588,0
589,5
590,1
591,5
592,4
593,1
594,2
595,2
596,3
597,5
598,6
599,8
600,2
601,9
602,8
603,7
604,7
605,4
606,0
607,5
608,2
609,2
610,1
611,0
612,5
613,7
614,0
615,4
616,8
617,5
618,0
619,0
620,5
621,3
622,1
623,5
624,1
625,2
626,8
627,2
628,3
629,3
630,8
631,9
632,9
633,2
634,3
635,3
636,6
637,9
638,9
639,7
640,6
641,3
642,5
643,0
644,8
645,3
646,1
647,1
648,6
649,0
650,7
651,6
652,9
653,0
654,3
655,0
656,0
657,6
658,8
659,1
660,0
661,0
662,1
663,9
664,9
665,3
666,3
667,7
668,1
669,1
670,3
671,3
672,6
673,8
674,3
675,0
676,3
677,1
678,3
