Sample ID,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Class
1,0.335202582,-0.784237818,1.748584185,0.689819413,1.345980556,2.401481291,0.555229632,-0.442049679,-0.600957409,1.148516664,-1.081842791,-0.080346412,-0.893925316,0.125909488,-0.669250724,0.375991245,-0.510179688,-1.184106437,0.084710094,0.492114434,0.705536386,-0.887244705,-0.143437916,-0.366181498,0.662008791,6
2,-0.36719407,1.21413909,-1.239822653,0.913640128,-1.108813166,0.842106834,0.402950504,-1.328034351,-0.092689359,0.992581526,0.237419561,0.239849023,0.145645749,0.357188987,1.050988978,0.779527751,-0.543719924,0.519018737,-1.052207911,-0.909747636,-0.574480866,-1.772827558,0.154404523,-0.089003251,-2.595208172,3
3,-0.223585851,-0.004246515,-0.753329166,-0.231245377,0.56914572,2.014164166,0.251879855,0.579508899,-0.466784927,-1.019790336,-1.497665783,0.78560146,-0.920512405,1.011891254,-0.228755381,-1.316154008,0.3361241,0.352343331,0.283411896,-1.247674885,1.578959596,0.0712014,0.273445367,-0.046615362,0.52216291,6
4,-1.436967522,1.467864335,0.85896012,0.139043728,0.295011769,-1.267010507,-0.710657049,0.708871545,1.522083921,-0.258085442,-0.862631857,-1.20862796,-0.611803982,-0.799102236,1.012847017,-0.288742377,0.468327689,-0.574398553,-0.022128769,0.443826486,-0.892086508,-0.909954195,-0.748735739,-1.263271663,0.420825157,1
5,0.762652983,0.087472663,-1.69208305,-1.777013896,-0.349182744,1.095107639,-1.475630784,0.199484095,-0.274836327,0.341761819,-1.061380342,-0.072029193,-1.731649516,-0.959145958,-0.538061057,1.394930629,-0.377778557,-1.017334251,-1.30575203,1.217770458,0.480844511,-1.170246066,-0.932578336,-0.447482842,-2.974014916,5
6,0.285836842,-1.509060039,0.029292837,1.866762994,0.236065951,-1.026098996,-1.775666775,-1.132791948,0.77218859,0.627208203,-0.993555264,1.243309573,0.81056539,-0.76643549,1.398313392,-0.68705836,-0.810314005,0.47084144,-0.938324496,-0.063327348,1.204702279,0.07162063,-0.109501578,0.957694957,-0.581726236,4
7,-0.094317431,-1.524065969,-0.913757087,-1.981366054,1.350568193,0.109643388,0.988700363,0.261836058,0.470031277,0.284955879,1.730295163,-0.469796739,0.289596162,-1.666768786,0.501896204,0.54272967,0.646850358,0.585553666,1.231393883,0.283234733,0.528658453,0.44789001,0.219355091,-0.611418443,-0.798656651,9
8,0.308538845,0.395313875,-0.95756362,1.049400834,1.166033181,0.791174526,1.363046646,1.036840512,-1.600487491,2.066626966,-0.329748459,0.661518999,-2.148149063,-0.241052295,0.376484648,-0.14671101,-2.1309758,0.903152012,0.293924088,0.333650593,0.864269713,0.839554091,0.037762073,-1.038730989,-0.266668226,8
9,-0.129486112,0.138847877,-0.522811307,-2.151000778,1.533066354,0.534971071,-0.557839854,-0.162106654,1.425667999,-0.054499784,-0.599969665,-0.979374603,1.226871258,1.265513514,0.932648872,0.096505282,0.4515586,-0.299822201,0.39630593,0.554822596,-0.465806738,-2.749758534,0.79833701,-1.502731025,0.524183353,8
10,-0.45944976,-1.045958397,-1.06797853,1.269399416,0.578732517,0.145100452,-0.906074182,0.316626306,0.161122212,-1.410452625,-0.731271258,-0.473637955,-0.770168332,-1.277466697,0.021539576,0.318532173,-0.217163195,-0.171746887,0.168680042,-1.482838594,-2.035283922,-0.815210483,1.112604444,2.163361699,-0.314958237,9
11,-0.793850205,-0.912627875,0.758617677,-1.087900563,-0.236979148,-1.55243035,1.052341625,0.186371119,0.315387232,1.740573021,-1.415611794,-1.170480449,-0.872047302,0.098304272,-0.389641719,-0.326609494,-0.654798897,1.456948487,-0.378406043,-1.650672422,0.041189554,-0.326662989,-0.106160268,0.149862863,-0.264182144,7
12,-0.029620097,0.300673177,1.931307939,1.148699265,1.764831141,-0.746435501,-1.853712945,-0.520630727,0.359131186,-1.032190339,-0.228582749,-0.637180004,1.299937059,0.149068737,-1.514006171,1.367653595,-0.951127152,0.172336152,0.09957801,0.633759865,1.314904349,0.785630396,1.596527482,-1.063919554,0.692472613,2
13,-1.285712605,-0.748536016,-0.317413834,0.00627811,-1.04352132,-0.521405209,0.990758172,-0.328485695,-0.584809252,-0.306675966,-0.206126642,-0.969607988,0.403154117,-0.39313404,-1.281303483,0.997452707,1.203047638,0.369080323,-0.734877697,0.909131682,-0.169048219,0.572898258,1.068670248,0.352027857,0.125771258,7
14,-0.277985303,1.311502615,-1.491596401,0.042687439,-0.750124268,1.033322646,-0.541280025,-1.4535708,0.49226143,0.011041443,0.177889976,0.197561684,-0.173542838,-0.403991773,-0.144882811,-1.40312279,-0.331242741,-0.555265958,-0.248634798,-1.203589619,-0.253092994,-2.027718457,1.092142225,-0.783323449,-1.815115833,3
15,1.335651065,-0.20170118,0.964402224,0.51522719,1.999477416,-1.725510726,0.313768335,-1.084803103,-0.530726647,-1.783365657,-2.45482855,2.183757269,1.069746298,0.614441142,-1.47626591,0.355678442,-0.734429846,-0.877965745,0.534219217,-0.820893097,-0.754449665,1.313254819,-0.567740857,-0.427362255,-1.491713957,2
16,-1.348280248,1.012126018,0.910130638,0.276977458,0.560933021,-1.761369924,-1.333418234,0.538685357,0.583935616,0.136066403,-0.478798744,-1.767608378,-0.809810802,-0.176095682,0.838342816,0.127256535,0.337739235,-0.163776797,-0.605054754,0.454362934,0.789549111,-0.849614015,-0.961391631,-0.699281578,0.686877855,1
17,0.606585515,-0.173008612,1.06854466,0.568413133,1.622351416,3.193670222,0.93963211,0.572730608,-0.264880139,0.815486183,-0.478477026,0.810995179,-1.421641847,0.764327346,0.15048745,1.087054661,0.198071649,-0.380568352,-1.256286395,-0.388481353,1.547588135,0.671232452,-0.781639099,-1.507046688,1.175635807,6
18,-0.527183472,0.999126034,0.562116395,0.189709141,1.096566742,-0.708500957,-2.458643782,-0.010639195,0.877332408,-0.173179715,0.250907963,-1.044757387,0.555007875,-0.272969914,-0.116837298,1.630522835,0.753025153,-0.938463522,0.534481361,1.193803107,-0.817273333,-0.049790982,-0.333377749,-1.627290305,0.962836445,7
